AMOUNT,CANDIDATE,CONTRIBUTIONTYPEDESC,CONTRIBUTORTYPEDESC,CONTRIBUTOR_ADDRESS,CONTRIBUTOR_NAME,CONTRIBUTOR_POSTAL_CODE,OFFICE,OFFICE_TYPE,WARD_NO,Year
500.0,"Di Giorgio, Frank",Monetary,Corporation,"1 Unknown Address, Toronto",1651990 Ont. Inc.,M4B 1Y7,Councillor,2.0,12,2006
250.0,"Shiner, David",Monetary,Corporation,"125 Ravel Road, Toronto",1663706 Ontario Inc.,M2H 1T1,Councillor,2.0,24,2006
750.0,"Lojko, Ted",Monetary,Corporation,"100 Union  St., Toronto",16752777 Ont. Ltd,M6N 3M9,Councillor,2.0,14,2006
250.0,"Toutchinski, Igor",Monetary,Corporation,"4950 Yonge St.,, Suite 2227, Toronto",1689158 Ontario Corp,M2N 6K1,Councillor,2.0,10,2006
250.0,"Di Giorgio, Frank",Monetary,Corporation,"2111 Lakeshore Blvd.W., Suite 17, Toronto",177644 Canada Inc,M8V 1A1,Councillor,2.0,12,2006
750.0,"Augimeri, Maria",Monetary,Corporation,"700 Applewood Cres., Suite 100, Vaughan",1st Longutal Ltd.,L4K 5X3,Councillor,2.0,9,2006
750.0,"Li Preti, Peter",Monetary,Corporation,"60 Ashwarren Road, Toronto",2033325 Ontario Inc.,M3J 1Z5,Councillor,2.0,8,2006
750.0,"Di Giorgio, Frank",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ont. ltd.(Castlepoint Investment),L3T 7M8,Councillor,2.0,12,2006
750.0,"Shiner, David",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,24,2006
750.0,"Del Grande, Mike",Monetary,Corporation,"8500 Leslie Street, Suite 380, Thornhill",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,39,2006
750.0,"Feldman, Michael",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,10,2006
750.0,"Minnan-Wong, Denzil",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,34,2006
750.0,"Grimes, Mark",Monetary,Corporation,"1 Unknown, Toronto",2034055 Ontario Limited,M4B 1Y7,Councillor,2.0,6,2006
500.0,"Parker, John",Monetary,Corporation,"8500 Leslie Street, Suite 380, Toronto",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,26,2006
750.0,"Verma, Sonali",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,1,2006
500.0,"Aynedjian, Hratch",Monetary,Corporation,"8500 Leslie Street, Suite Suite 380, Toronto",2034055 Ontario Limited,L3T 7M8,Councillor,2.0,41,2006
500.0,"Ainslie, Paul",Monetary,Corporation,"8500 Leslie Street, Toronto",2034055 Ontario Limited/Castle Point inv,L3T 7M8,Councillor,2.0,43,2006
750.0,"Carroll, Shelley",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ontario Ltd,L3T 7M8,Councillor,2.0,33,2006
750.0,"Saundercook, Bill",Monetary,Corporation,"8500 Leslie St, Suite 380, Thornhill",2034055 Ontario Ltd - Castlepoint Investments,L3T 7M8,Councillor,2.0,13,2006
750.0,"Kelly, Norm",Monetary,Corporation,"8500 Leslie St., Thornhill",2034055 Ontario Ltd.,L3T 7M8,Councillor,2.0,40,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"500 Hwy #7 East, Richmond Hill",2034055 Ontario Ltd.,L4B 1J1,Councillor,2.0,7,2006
500.0,"Miller, Andrew",Monetary,Corporation,"8500 Leslie Street, Suite 380, Thornill",2034055 Ontario Ltd.,L3T 7M8,Councillor,2.0,23,2006
500.0,"Berardinetti, Michelle",Monetary,Corporation,"1 Unknown, Toronto",2034055 Ontario Ltd.,M4B 1Y7,Councillor,2.0,35,2006
500.0,"Lojko, Ted",Monetary,Corporation,"8500 Leslie St, Thornhill",2034055 Ontario Ltd.,L3T 7M8,Councillor,2.0,14,2006
750.0,"Li Preti, Peter",Monetary,Corporation,"8500 Leslie St., Suite 380, Thornhill",2034055 Ontario Ltd. (Castlepoint),L3T 7M8,Councillor,2.0,8,2006
750.0,"Milczyn, Peter",Monetary,Corporation,"8500 Leslie Street, Suite 380, Thornhill","2034055 Ontario Ltd., Attn: A. Romano",L3T 7M8,Councillor,2.0,5,2006
750.0,"Verma, Sonali",Monetary,Corporation,"175 Old Humber Crescent, Kleinburg",2046478 Ontario Ltd.,L0J 1C0,Councillor,2.0,1,2006
500.0,"Grimes, Mark",Monetary,Corporation,"892 College Street, Toronto",2056136 Ont. Corp,M6H 1A4,Councillor,2.0,6,2006
200.0,"Augimeri, Maria",Monetary,Corporation,"3250 Bloor St. W., East Tower, Suite 118, Toronto",2425 Jan St. Rental Account,M8X 2X9,Councillor,2.0,9,2006
600.0,"Thompson, Michael",Monetary,Corporation,"7100 Woodbine Ave , Suite 108, Markham",2811 Development Corporation,L3R 5J2,Councillor,2.0,37,2006
750.0,"De Baeremaeker, Glenn",Monetary,Corporation,"7100 Woodbine Ave., Suite 108, Markham",2811 Development Corporation,M1J 3C3,Councillor,2.0,38,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"55 St. Clair Ave. W., Suite 240, Toronto",2BRNOT2B Holdings Inc.,M4V 2Y7,Councillor,2.0,7,2006
250.0,"Nunziata, Frances",Monetary,Corporation,"5 Harlow Crescent, Toronto",3 Dimensional Development,M9V 2Y6,Councillor,2.0,11,2006
250.0,"Lee, Chin",Monetary,Corporation,"2900  Markham Road, Scarborough",3243222 Canada Inc.,M1X 1E6,Councillor,2.0,41,2006
500.0,"Del Grande, Mike",Monetary,Corporation,"4800 Dufferin St, Toronto",360 At the City Centre Inc,M3H 5S9,Councillor,2.0,39,2006
750.0,"Kelly, Norm",Monetary,Corporation,"4800 Dufferin Street, Toronto",360 At The City Centre Inc.,M3H 5S8,Councillor,2.0,40,2006
750.0,"Li Preti, Peter",Monetary,Corporation,"1131 Leslie St., Suite 220, Toronto",385277 Ontario Limited,M2C 2K6,Councillor,2.0,8,2006
750.0,"Moscoe, Howard",Monetary,Corporation,"1131-A Leslie Street, Suite 220, Toronto",385277 Ontario Ltd.,M3C 2K6,Councillor,2.0,15,2006
200.0,"Ford, Rob",Monetary,Corporation,"37 Stoffel Drive, Toronto",401 And Dixon Properties Inc.,M9W 6A8,Councillor,2.0,2,2006
200.0,"Ford, Rob",Monetary,Corporation,"37A Stoffel Dr., Toronto",401 Mini Indy 2058427 Ontario Limited,M9W 6A8,Councillor,2.0,2,2006
750.0,"Lojko, Ted",Monetary,Corporation,"2938 Dundas St W., Toronto",5005707 Ontario Ltd.,M6P 1Y8,Councillor,2.0,14,2006
500.0,"Verma, Sonali",Monetary,Corporation,"1601 St. Clair Ave. W., Toronto",529457 Ontario Limited o/a Dairy Freeze,M6E 1C9,Councillor,2.0,1,2006
750.0,"Ford, Rob",Monetary,Corporation,"36E Stoffel Dr., Toronto",565991 Ontario Limited,M9W 1A8,Councillor,2.0,2,2006
750.0,"Augimeri, Maria",Monetary,Corporation,"161 Charmaine Rd., Suite 4, Woodbridge",6471641 Can. Inc.,L4L 1K3,Councillor,2.0,9,2006
500.0,"Wdowczyk, Frances",Monetary,Corporation,"66 Apted Avenue, Toronto",6516106 Canada Inc.,M9L 2P3,Councillor,2.0,13,2006
150.0,"Hall, Suzan",Monetary,Corporation,"134 McClur Drive, King City",766856 Ontario Ltd.,L7B 1C2,Councillor,2.0,1,2006
750.0,"Minnan-Wong, Denzil",Monetary,Corporation,"8 Dibble St., Toronto",871862 Ontario Ltd.,M4N 2B7,Councillor,2.0,34,2006
500.0,"Santos, Rowena",Monetary,Corporation,"276 KING ST WEST, Suite 203, Toronto",902268 ONTARIO LTD,M5V 1J2,Councillor,2.0,14,2006
200.0,"Thompson, Michael",Monetary,Corporation,"873 Queen St W, Toronto",939923 Ontario Ltd.,M6J 1G4,Councillor,2.0,37,2006
250.0,"Hall, Suzan",Monetary,Corporation,"5 Harlow Cres., Toronto",97682 Ontario Limited,M9V 2Y6,Councillor,2.0,1,2006
300.0,"Nunziata, Frances",Monetary,Corporation,"25 Bertal Rd., Suite 16, Toronto",A&S Fine Furniture,M6M 4M7,Councillor,2.0,11,2006
750.0,"Milczyn, Peter",Monetary,Corporation,"1 Greensboro Drive, Suite 400, Toronto",A. Mantella & Sons Limited,M9W 1C9,Councillor,2.0,5,2006
750.0,"Del Grande, Mike",Monetary,Corporation,"1032 Winston Churchill Blvd, Oakville",A. Wesley Paving Ltd,L6J 7Y4,Councillor,2.0,39,2006
400.0,"Moscoe, Howard",Monetary,Corporation,"1100 Sheppard Avenue West, Suite 330, Toronto",A.G.A. Construction Ltd.,M3K 2B3,Councillor,2.0,15,2006
400.0,"Hare, Bruce",Monetary,Trade Union,"812 Wilson Ave., Toronto",A.T.U. Local 113,M4B 1Y7,Councillor,2.0,38,2006
200.0,"Verma, Sonali",Monetary,Individual, ,"Abad, Prakash",L9B 2E1,Councillor,2.0,1,2006
300.0,"Ali, Cadigia",Monetary,Individual, ,"Abdi, Hawa",M9P 1A7,Councillor,2.0,2,2006
500.0,"Dhanani, Mohamed",Monetary,Individual, ,"Abdulla, Dr. Alnoor",L3R 7S5,Councillor,2.0,26,2006
200.0,"Dhanani, Mohamed",Monetary,Individual, ,"ABDULLA, JAMIL M.",L6A 1G1,Councillor,2.0,26,2006
250.0,"Ingar, Abdul",Monetary,Individual, ,"Abdullah, Ahmed",M4H 1L5,Councillor,2.0,26,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"48 Abell Street, Toronto",Abell Investments,M6J 3H2,Councillor,2.0,7,2006
300.0,"Robertson, David",Monetary,Individual, ,"Abi-Khazam, Fouad",M3C 1G3,Councillor,2.0,41,2006
250.0,"Ahmed, Atiya",Monetary,Individual, ,"Abid, Tahseen",M1R 2M7,Councillor,2.0,34,2006
300.0,"Filion, John",Monetary,Individual, ,"Abiscott, Esther",M2N 6E1,Councillor,2.0,23,2006
300.0,"Li Preti, Peter",Monetary,Individual, ,"Abittan, Loredana",L4H 1N3,Councillor,2.0,8,2006
500.0,"Filion, John",Monetary,Individual, ,"Aboonabi, Mohammad",M2L 2B1,Councillor,2.0,23,2006
300.0,"Aynedjian, Hratch",Monetary,Individual, ,"Abrahamian, Jackline",M5S 3K4,Councillor,2.0,41,2006
100.0,"Royz, Max",Monetary,Individual, ,"Abramovich, Bello",L4T 7K9,Councillor,2.0,10,2006
100.0,"Royz, Max",Monetary,Individual, ,"Abramovich, Bello",L4T 7K9,Councillor,2.0,10,2006
400.0,"Moscoe, Howard",Monetary,Corporation,"PO Box 366 Station A, Toronto",Abrams Services Across Ontario,M3M 3A8,Councillor,2.0,15,2006
750.0,"Mihevc, Joe",Monetary,Individual, ,"Abrams, Howard",M6C 1R6,Councillor,2.0,21,2006
136.0,"Jabbar, Raza",Monetary,Individual, ,"Abrams, Stephen H.",M1M 1P1,Councillor,2.0,26,2006
250.0,"Miller, Andrew",Monetary,Individual, ,"Abramsky, Mat",K7L 4B7,Councillor,2.0,23,2006
250.0,"Miller, Andrew",Monetary,Individual, ,"Abramsky, Toby & Jay",K7L 4B7,Councillor,2.0,23,2006
750.0,"Pantalone, Joe",Monetary,Individual, ,"ABRO, LESLIE",M2N 5L3,Councillor,2.0,19,2006
200.0,"Saundercook, Bill",Monetary,Individual, ,"Abro, Leslie",M2N 5L3,Councillor,2.0,13,2006
300.0,"Salek, Susan",Monetary,Individual, ,"Abtahi, Zohra",L4B 4L4,Councillor,2.0,34,2006
750.0,"Rae, Kyle",Monetary,Individual, ,"Abugov, Eric",M5N 1R4,Councillor,2.0,27,2006
750.0,"Giambrone, Adam",Monetary,Corporation,"722 College Street , Suite 306, Toronto",ACAPO,M6G 1C4,Councillor,2.0,18,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Accardi, Rocco",M6M 4Z9,Councillor,2.0,9,2006
200.0,"Thompson, Michael",Monetary,Corporation,"1776 O'Connor Dr, Toronto",Access Self Storage Inc,M4A 1W8,Councillor,2.0,37,2006
750.0,"Grimes, Mark",Monetary,Corporation,"580 Evans Ave., Toronto",Active Tire,M8W 2W1,Councillor,2.0,6,2006
550.0,"Milczyn, Peter",Monetary,Corporation,"580 Evans Avenue, Toronto",Active Tire and Auto Centre,M8W 2W1,Councillor,2.0,5,2006
200.0,"Milczyn, Peter",Monetary,Corporation,"580 Evans Avenue, Toronto",Active Tire and Auto Centre,M8W 2W1,Councillor,2.0,5,2006
750.0,"Moscoe, Howard",Monetary,Corporation,"5075 Yonge Street, Suite 900, Toronto",Adam Brown Prof. Corp.,M2N 6C6,Councillor,2.0,15,2006
500.0,"Bussin, Sandra",Monetary,Corporation,"5075 Yonge St, Suite 900, Toronto",Adam J. Brown Professional Corp,M2N 6C6,Councillor,2.0,32,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"5075 Yonge St., Suite 900, Toronto",Adam J. Brown Professional Corporation,M2N 6C6,Councillor,2.0,7,2006
750.0,"Di Giorgio, Frank",Monetary,Corporation,"5075 Yonge St., Toronto",Adam J.Brown Professional Corp,M2N 6C6,Councillor,2.0,12,2006
350.0,"Ainslie, Paul",Monetary,Individual, ,"Adam, Brown",M2N 6C6,Councillor,2.0,43,2006
300.0,"Saundercook, Bill",Monetary,Individual, ,"Adamowich, Morris",M6N 4B2,Councillor,2.0,13,2006
125.0,"Moscoe, Howard",Monetary,Individual, ,"Adams, Howard",M4G 3L6,Councillor,2.0,15,2006
150.0,"Nunziata, Frances",Monetary,Individual, ,"Adams, Howard",M4G 3L6,Councillor,2.0,11,2006
200.0,"Harris, Dan",Monetary,Individual, ,"Adams, Leasa",M1N 2X8,Councillor,2.0,35,2006
200.0,"Rae, Kyle",Monetary,Individual, ,"Adams, Michael",M4W 2N7,Councillor,2.0,27,2006
550.0,"Vaughan, Adam",Monetary,Individual, ,"Adams, Patricia",M5R 3B7,Councillor,2.0,20,2006
250.0,"Bravo, Alejandra",Monetary,Individual, ,"Adamson, Lee",M6C 3S2,Councillor,2.0,17,2006
300.0,"Perks, Gord",Monetary,Individual, ,"Addario, Andrea",M4K 3H3,Councillor,2.0,14,2006
250.0,"White, David",Monetary,Individual, ,"Addison, Nancy",L7J 2L9,Councillor,2.0,14,2006
300.0,"White, David",Monetary,Individual, ,"Addison, Nancy",L7J 2L9,Councillor,2.0,14,2006
200.0,"White, David",Monetary,Individual, ,"Addison, Nancy",L7J 2L9,Councillor,2.0,14,2006
500.0,"Watt, Steve",Monetary,Individual, ,"Addison, Sharon",M6S 2Y5,Councillor,2.0,16,2006
500.0,"Filion, John",Monetary,Individual, ,"Adelson, Michael",M2N 3M6,Councillor,2.0,23,2006
300.0,"Ali, Cadigia",Monetary,Individual, ,"Aden, Abukar",L9C 4Y4,Councillor,2.0,2,2006
200.0,"Ali, Cadigia",Monetary,Individual, ,"Aden, Zeinab",M1B 6G7,Councillor,2.0,2,2006
500.0,"Salek, Susan",Monetary,Individual, ,"Adibfar, Dr. Ali",M5S 1M8,Councillor,2.0,34,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"970 Lawrence Ave. W., Suite 304, Toronto",Adir Investments Limited,M6A 3B6,Councillor,2.0,7,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"2666 Rena Rd., Mississauga",AFFG Properties and Investments Inc.,L4T 3C8,Councillor,2.0,7,2006
500.0,"Ahmed, Atiya",Monetary,Individual, ,"Agamadeen, Lucsy",M5A 3P7,Councillor,2.0,34,2006
200.0,"Lucas, Andre",Monetary,Individual, ,"Agard, Ena",L5R 2N5,Councillor,2.0,1,2006
500.0,"Aminvaziri, Bahar",Monetary,Individual, ,"Aghaie kakroudi, Seyed Hamzeh",L3T 2A7,Councillor,2.0,26,2006
750.0,"Cho, Raymond",Monetary,Corporation,"80 Automall Drive, Toronto",Agincourt Hyundai,M1B 5N5,Councillor,2.0,42,2006
300.0,"Kelly, Norm",Monetary,Corporation,"3850 Sheppard Ave East, Toronto",Agincourt Properties Ltd,M1T 3L4,Councillor,2.0,40,2006
750.0,"Bravo, Alejandra",Monetary,Individual, ,"Agnew-Iler, Brendan",M6G 3K2,Councillor,2.0,17,2006
500.0,"Perks, Gord",Monetary,Individual, ,"Agnew-Iler, Brendan",M6G 3K2,Councillor,2.0,14,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Agostino, Antonio",L4L 5N6,Councillor,2.0,9,2006
185.0,"Santos, Rowena",Monetary,Individual, ,"Aguilar, Jesus",L4G 7W9,Councillor,2.0,14,2006
750.0,"Nadarajah, Kumar",Monetary,Individual, ,"Ahilan, Mike",L4B 2G9,Councillor,2.0,42,2006
550.0,"Ather, Mohammed",Monetary,Individual, ,"Ahmad, Nisar",M1B 1P9,Councillor,2.0,42,2006
750.0,"Ather, Mohammed",Monetary,Individual, ,"Ahmed, Fayyaz",M9L 2H1,Councillor,2.0,42,2006
750.0,"Ather, Mohammed",Monetary,Individual, ,"Ahmed, Humaira",M1B 2E7,Councillor,2.0,42,2006
300.0,"Ahmed, Sharif",Monetary,Individual, ,"Ahmed, Mashuk",M1L 1H1,Councillor,2.0,35,2006
300.0,"Ather, Mohammed",Monetary,Individual, ,"Ahmed, Mohammed",M1B 2Y4,Councillor,2.0,42,2006
125.0,"Davis, Janet",Monetary,Individual, ,"Ahmed, Mustaq",M1S 4E2,Councillor,2.0,31,2006
750.0,"Ather, Mohammed",Monetary,Individual, ,"Ahmed, Najeeb",M1B 2E7,Councillor,2.0,42,2006
300.0,"Ather, Mohammed",Monetary,Individual, ,"Ahmed, Qurratulain",M1B 2Y4,Councillor,2.0,42,2006
200.0,"Alam, Muhammad",Monetary,Individual, ,"Ahmed, Safia",M4H 1J4,Councillor,2.0,26,2006
200.0,"Cho, Raymond",Monetary,Individual, ,"Ahn, Byong-Won",M2R 3K1,Councillor,2.0,42,2006
500.0,"Santos, Rowena",Monetary,Individual, ,"Ahn, Jenny",M6R 2X5,Councillor,2.0,14,2006
750.0,"Ainslie, Paul",Monetary,Individual, ,"Ainslie, Helen",M1E 2E6,Councillor,2.0,43,2006
500.0,"Ainslie, Paul",Monetary,Individual, ,"Ainslie, Janet",M1E 4Y7,Councillor,2.0,43,2006
300.0,"Salek, Susan",Monetary,Individual, ,"Airomlou-Boozary, Fatemeh-Sholeh",M2L 2W8,Councillor,2.0,34,2006
300.0,"Aynedjian, Hratch",Monetary,Individual, ,"Ajamian, Arpi",L4A 7X5,Councillor,2.0,41,2006
300.0,"Aynedjian, Hratch",Monetary,Individual, ,"Ajamian, Vahan",M5S 3K4,Councillor,2.0,41,2006
300.0,"Aynedjian, Hratch",Monetary,Individual, ,"Ajamian, Victor",L4A 7X5,Councillor,2.0,41,2006
500.0,"Dhanani, Mohamed",Monetary,Individual, ,"Ajani, Amirali",L3T 1K1,Councillor,2.0,26,2006
200.0,"Dhanani, Mohamed",Monetary,Individual, ,"Ajani, Kulsum",L2S 2W1,Councillor,2.0,26,2006
500.0,"Dhanani, Mohamed",Monetary,Individual, ,"Ajani, Munir",L3T 1K1,Councillor,2.0,26,2006
750.0,"Vaughan, Adam",Monetary,Individual, ,"Akande, Zanana",M5P 2X4,Councillor,2.0,20,2006
300.0,"Salek, Susan",Monetary,Individual, ,"Akbarj, Babak",M4N 2X9,Councillor,2.0,34,2006
200.0,"Sewell, John",Monetary,Individual, ,"Akehurst, Peter",M6S 1V5,Councillor,2.0,21,2006
200.0,"Alam, Muhammad",Monetary,Individual, ,"Akhtar, Shakil",M9C 4N9,Councillor,2.0,26,2006
200.0,"Li Preti, Peter",Monetary,Individual, ,"Alampi, Carmela",M9A 5C4,Councillor,2.0,8,2006
200.0,"Moscoe, Howard",Monetary,Individual, ,"Alampi, Nicola",M9A 5C4,Councillor,2.0,15,2006
200.0,"Milczyn, Peter",Monetary,Individual, ,"Alati, John",M8W 3K8,Councillor,2.0,5,2006
300.0,"White, David",Monetary,Individual, ,"Albanese, Stephen",N0B 2K0,Councillor,2.0,14,2006
750.0,"Heaps, Adrian",Monetary,Individual, ,"Albertson, Art",P7B 5E5,Councillor,2.0,35,2006
750.0,"Heaps, Adrian",Monetary,Individual, ,"Albertson, Karen",M1N 2T1,Councillor,2.0,35,2006
